,,,,,,
,,,,,,
Titulo,Fundamentos de Python para Principiantes,,,,,
Descripción,"Una introducción completa al lenguaje de programación Python, enfocada en principiantes. Aprenderás las bases del lenguaje, estructuras de datos y cómo empezar tu primer proyecto en Python.",,,,,
Fecha y Hora,"15 de diciembre de 2023, 17:00 hrs GMT",,,,,
URL de Acceso,https://zoom.us/j/1112223333?pwd=pyth0nBeg1,,,,,
,,,,,,
,,,,,,
nombre,apellido,correo_electronico,poblacion,provincia_estado,pais,id_curso
Randy,Mason,allenmeredith@example.org,,,Sierra Leone,3
Connie,Vargas,michaelbrown@example.com,,,Sweden,3
Michelle,Gonzalez,wroberts@example.net,Port Jordan,Georgia,Tajikistan,3
Jennifer,Diaz,darrenbowers@example.net,,Wyoming,Morocco,3
Kenneth,Russell,steven61@example.org,Mitchellfurt,Wisconsin,Saint Helena,3
Roger,Torres,oscar96@example.net,East Seanfort,,Uganda,3
Luke,Price,rhondawilliams@example.com,,,Albania,3
Edward,Palmer,qwhite@example.net,Rebekahtown,Kentucky,Bulgaria,3
Kristi,Berry,lisa39@example.com,,Rhode Island,Mongolia,3
Thomas,Perez,isampson@example.org,Silvamouth,Washington,Uruguay,3
Angel,Hernandez,david55@example.com,Xavierhaven,,Swaziland,3
Lauren,Craig,jamiejohnson@example.org,,Massachusetts,Hungary,3
Anthony,Taylor,smitheric@example.org,Danielleview,Nevada,Madagascar,3
Timothy,Davis,richardandrews@example.org,,Arizona,Western Sahara,3
Adrian,Vasquez,fholmes@example.org,South Tammyland,,Czech Republic,3
Jonathan,Walters,taylormartin@example.com,Nortonville,,British Indian Ocean Territory (Chagos Archipelago),3
Danny,Larson,kathleenfitzgerald@example.org,,Missouri,Burkina Faso,3
Erica,Bates,yorkbrad@example.net,Lake Traci,Wyoming,Burundi,3
Priscilla,Russell,michellethompson@example.net,East Heather,Kentucky,Croatia,3
Anthony,Page,ureed@example.net,,,Bahamas,3
Maria,Reed,jacksonjennifer@example.com,,,Belize,3
Benjamin,Frost,daniel51@example.net,,Mississippi,Dominican Republic,3
Rebecca,Conway,danawinters@example.org,Port Tina,,Comoros,3
Christina,Perez,gcox@example.net,Lake Bryanport,,Grenada,3
Christopher,Rodriguez,sethsingh@example.net,,Texas,Tanzania,3
Luis,Luna,wyattfrank@example.net,,,Netherlands,3
Patrick,Simon,dannyolson@example.org,South Tyler,Arizona,Bahamas,3
Jesus,Mathis,kathy40@example.org,Jonathanport,,Botswana,3
Jessica,Giles,elizabethpearson@example.org,,,Togo,3
Eric,Shaffer,rhonda20@example.org,,Colorado,Denmark,3
Haley,Davis,pottsdonald@example.com,North Jonathanfort,Utah,Fiji,3
Brandon,Smith,jonesjoseph@example.com,,Tennessee,Israel,3
Pam,Mann,uwilliams@example.com,Port Ann,Kansas,Bahrain,3
Ana,Campos,mayraymond@example.com,West Joeport,,Belize,3
Melissa,Jones,michaelmiller@example.com,Johnsonville,Michigan,Cameroon,3
Sarah,Lawrence,amyjohnston@example.com,South Meghanmouth,Pennsylvania,Northern Mariana Islands,3
Donald,Rivera,michaelfriedman@example.com,Edwardland,,Burundi,3
Jerry,Carter,jocelyn50@example.org,,,Jamaica,3
Dawn,Richardson,ramirezdustin@example.org,,New York,Sierra Leone,3
Larry,Bolton,enguyen@example.org,Lake Rebecca,,Sri Lanka,3
Shannon,Patrick,sabrina59@example.com,West Robertfurt,Wyoming,Macao,3
Jonathan,Atkins,tammie48@example.org,Clarkstad,,Belarus,3
Tyrone,Tran,melanie41@example.net,Brandonstad,,Portugal,3
Tanner,Brown,barronjeffrey@example.net,,Minnesota,Nicaragua,3
Patricia,Gomez,john45@example.org,,Kansas,Mauritania,3
Kristen,Harris,brockaaron@example.com,South Gloria,Minnesota,Tonga,3
Deborah,Reynolds,brooke40@example.org,,,Netherlands,3
Jason,Flores,owenssarah@example.com,Harveychester,Indiana,Cape Verde,3
William,Hernandez,fvelez@example.net,Chaseview,Indiana,Gambia,3
Joseph,Davis,kellyfoster@example.org,,,Christmas Island,3
Adam,Meadows,goodmandiane@example.com,Kendrashire,Washington,Saint Kitts and Nevis,3
Ashley,Norman,jessica78@example.org,,,Gambia,3
Meghan,Santos,sherri35@example.org,,,Brunei Darussalam,3
Anthony,Orr,hannahmyers@example.net,,,Serbia,3
Jody,Smith,williamsrobert@example.org,,Wyoming,Marshall Islands,3
Jason,Hurley,allison15@example.net,,Nebraska,Azerbaijan,3
Valerie,Hoover,sharongarcia@example.net,Alexberg,South Carolina,Mexico,3
Gavin,Meyer,william58@example.org,South Andrewchester,Hawaii,Australia,3
Michael,Sanchez,melissaramirez@example.com,,California,Mauritania,3
Susan,Luna,fmiller@example.net,,,Libyan Arab Jamahiriya,3
Misty,Smith,ismith@example.com,Williamsstad,,Somalia,3
Elizabeth,Clarke,harveychristopher@example.com,Blackburnside,,Monaco,3
Michael,Watkins,johnsonjeffrey@example.org,,,Faroe Islands,3
Dan,Salinas,matthew49@example.com,Dunnmouth,Montana,Lithuania,3
Caleb,Smith,smithaustin@example.com,Fernandeztown,,Kuwait,3
William,Wong,brianna85@example.net,,,Dominica,3
Brian,Merritt,jessicabaker@example.net,Angelicachester,Idaho,Switzerland,3
Angela,Arnold,rpham@example.org,Pamelachester,,Czech Republic,3
Melissa,Jones,fmartin@example.com,East David,Rhode Island,Comoros,3
Timothy,Morris,amandathomas@example.com,,Minnesota,Angola,3
Kimberly,Ballard,waltoncody@example.com,Calebport,,Sierra Leone,3
Roberto,Hart,brett11@example.net,Randallburgh,Tennessee,Barbados,3
Chelsea,Shaffer,cparker@example.com,,,Cocos (Keeling) Islands,3
Amy,Coleman,bauermatthew@example.com,,New Hampshire,Norway,3
Melissa,White,douglas09@example.org,Mooretown,Nebraska,Uganda,3
Eric,Robinson,igriffin@example.org,New Joseph,Hawaii,Albania,3
Stephen,Cantrell,smithdavid@example.net,,,Armenia,3
Julia,Herrera,timothymcdowell@example.com,Jamesfort,California,Lesotho,3
Maria,Petersen,johnsonjoshua@example.org,South Darlenemouth,,Hungary,3
Anthony,Rich,amber71@example.org,,South Carolina,Finland,3
Casey,Li,kbowman@example.com,East Betty,,Guernsey,3
Nathan,Garner,amanda24@example.com,,,Maldives,3
Jessica,Smith,millerrobert@example.com,Port Sara,Idaho,Bahamas,3
Melissa,Vega,rushkevin@example.net,,Hawaii,Bahrain,3
Jamie,Bauer,henry85@example.net,Judychester,Hawaii,Eritrea,3
Melissa,Nelson,michelle15@example.org,,Georgia,Cameroon,3
Rachel,Olson,rossjennifer@example.com,,Tennessee,Iraq,3
Keith,Nelson,terri73@example.net,,Michigan,Kyrgyz Republic,3
Barbara,Williams,radams@example.net,,South Dakota,Anguilla,3
Vanessa,Nelson,aliciabaker@example.com,,,Mexico,3
Renee,Delacruz,kylie00@example.net,Nguyenview,New Hampshire,Eritrea,3
James,Woods,mercadojoel@example.org,Montgomerymouth,,French Guiana,3
Christopher,Houston,okhan@example.com,,,Antigua and Barbuda,3
Brandy,Nguyen,nathancarlson@example.net,Port Rebekah,,Falkland Islands (Malvinas),3
Paula,Turner,valeriethompson@example.net,Ericaborough,,Syrian Arab Republic,3
Sandra,Chang,fboyd@example.net,West Donaldtown,Idaho,Nauru,3
Amanda,Lam,hernandezangela@example.com,East John,West Virginia,Cayman Islands,3
Gloria,Lee,sfreeman@example.com,,,Bolivia,3
Jessica,Garcia,owalker@example.com,Greenton,Pennsylvania,Timor-Leste,3
